OID_,Name,Month,TweetCount,Shape_Length,Shape_Area,MONTH2
139,Mykolayiv,July,1899.000000000000000,14.723297778571208,2.831152566785830,7.000000000000000
140,Mykolayiv,June,1439.000000000000000,14.723297778571208,2.831152566785830,6.000000000000000
141,Mykolayiv,May,1670.000000000000000,14.723297778571208,2.831152566785830,5.000000000000000
142,Mykolayiv,April,2627.000000000000000,14.723297778571208,2.831152566785830,4.000000000000000
143,Mykolayiv,March,4912.000000000000000,14.723297778571208,2.831152566785830,3.000000000000000
144,Mykolayiv,February,1977.000000000000000,14.723297778571208,2.831152566785830,2.000000000000000
145,Odessa,October,38.000000000000000,24.376641831091938,3.923960929932916,10.000000000000000
146,Odessa,September,44.000000000000000,24.376641831091938,3.923960929932916,9.000000000000000
147,Odessa,August,27.000000000000000,24.376641831091938,3.923960929932916,8.000000000000000
148,Odessa,July,25.000000000000000,24.376641831091938,3.923960929932916,7.000000000000000
149,Odessa,June,27.000000000000000,24.376641831091938,3.923960929932916,6.000000000000000
150,Odessa,May,37.000000000000000,24.376641831091938,3.923960929932916,5.000000000000000
151,Odessa,April,42.000000000000000,24.376641831091938,3.923960929932916,4.000000000000000
152,Odessa,March,70.000000000000000,24.376641831091938,3.923960929932916,3.000000000000000
153,Odessa,February,27.000000000000000,24.376641831091938,3.923960929932916,2.000000000000000
154,Poltava,October,0.000000000000000,12.709278967791786,3.603813461404346,10.000000000000000
155,Poltava,September,1.000000000000000,12.709278967791786,3.603813461404346,9.000000000000000
156,Poltava,August,0.000000000000000,12.709278967791786,3.603813461404346,8.000000000000000
157,Poltava,July,0.000000000000000,12.709278967791786,3.603813461404346,7.000000000000000
158,Poltava,June,0.000000000000000,12.709278967791786,3.603813461404346,6.000000000000000
159,Poltava,May,2.000000000000000,12.709278967791786,3.603813461404346,5.000000000000000
160,Poltava,April,2.000000000000000,12.709278967791786,3.603813461404346,4.000000000000000
161,Poltava,March,2.000000000000000,12.709278967791786,3.603813461404346,3.000000000000000
162,Poltava,February,0.000000000000000,12.709278967791786,3.603813461404346,2.000000000000000
163,Rivne,October,0.000000000000000,12.512799610339442,2.579972527955048,10.000000000000000
164,Rivne,September,0.000000000000000,12.512799610339442,2.579972527955048,9.000000000000000
165,Rivne,August,0.000000000000000,12.512799610339442,2.579972527955048,8.000000000000000
166,Rivne,July,2.000000000000000,12.512799610339442,2.579972527955048,7.000000000000000
167,Rivne,June,1.000000000000000,12.512799610339442,2.579972527955048,6.000000000000000
168,Rivne,May,2.000000000000000,12.512799610339442,2.579972527955048,5.000000000000000
169,Rivne,April,0.000000000000000,12.512799610339442,2.579972527955048,4.000000000000000
170,Rivne,March,1.000000000000000,12.512799610339442,2.579972527955048,3.000000000000000
171,Rivne,February,0.000000000000000,12.512799610339442,2.579972527955048,2.000000000000000
172,Sevastopol',October,0.000000000000000,3.050842958490572,0.088158807315319,10.000000000000000
173,Sevastopol',September,0.000000000000000,3.050842958490572,0.088158807315319,9.000000000000000
174,Sevastopol',August,2.000000000000000,3.050842958490572,0.088158807315319,8.000000000000000
175,Sevastopol',July,0.000000000000000,3.050842958490572,0.088158807315319,7.000000000000000
176,Sevastopol',June,0.000000000000000,3.050842958490572,0.088158807315319,6.000000000000000
177,Sevastopol',May,0.000000000000000,3.050842958490572,0.088158807315319,5.000000000000000
178,Sevastopol',April,0.000000000000000,3.050842958490572,0.088158807315319,4.000000000000000
179,Sevastopol',March,0.000000000000000,3.050842958490572,0.088158807315319,3.000000000000000
180,Sevastopol',February,2.000000000000000,3.050842958490572,0.088158807315319,2.000000000000000
181,Sumy,October,2.000000000000000,13.750833491454955,3.045700824427322,10.000000000000000
182,Sumy,September,0.000000000000000,13.750833491454955,3.045700824427322,9.000000000000000
183,Sumy,August,0.000000000000000,13.750833491454955,3.045700824427322,8.000000000000000
184,Sumy,July,0.000000000000000,13.750833491454955,3.045700824427322,7.000000000000000
